t_s,x_m,z_m,vx,vz,mach,miss_distance_m
69.76,9789.415662570462,67.35435341992859,-49.960594725955424,-0.34374508874903326,0.14682117385402585,9789.64736972198
69.77,9788.916056623202,67.35091596904111,-49.96059472602056,-0.34374508874765397,0.14682117385421725,9789.147751949473
69.78,9788.41645067594,67.34747851815365,-49.96059472608491,-0.34374508874629117,0.14682117385440635,9788.648134176963
69.79,9787.91684472868,67.3440410672662,-49.96059472614849,-0.34374508874494464,0.14682117385459315,9788.148516404453
69.8,9787.417238781418,67.34060361637877,-49.960594726211305,-0.3437450887436142,0.1468211738547777,9787.648898631944
69.81,9786.917632834155,67.33716616549135,-49.960594726273364,-0.34374508874229964,0.14682117385496002,9787.149280859432
69.82000000000001,9786.418026886891,67.33372871460395,-49.960594726334676,-0.3437450887410008,0.14682117385514018,9786.64966308692
69.83,9785.918420939628,67.33029126371655,-49.96059472639526,-0.34374508873971743,0.14682117385531818,9786.150045314409
69.84,9785.418814992363,67.32685381282916,-49.960594726455106,-0.3437450887384494,0.14682117385549404,9785.650427541896
69.85000000000001,9784.919209045098,67.32341636194178,-49.96059472651424,-0.3437450887371965,0.14682117385566776,9785.150809769382
69.86,9784.419603097833,67.31997891105442,-49.96059472657266,-0.34374508873595855,0.1468211738558394,9784.651191996869
69.87,9783.919997150566,67.31654146016707,-49.960594726630376,-0.3437450887347354,0.14682117385600899,9784.151574224354
69.88,9783.420391203299,67.31310400927974,-49.9605947266874,-0.3437450887335269,0.14682117385617652,9783.651956451838
69.89,9782.920785256032,67.30966655839242,-49.960594726743736,-0.3437450887323328,0.14682117385634208,9783.152338679323
69.9,9782.421179308763,67.3062291075051,-49.9605947267994,-0.3437450887311529,0.14682117385650562,9782.652720906806
69.91,9781.921573361495,67.3027916566178,-49.96059472685439,-0.3437450887299871,0.14682117385666718,9782.15310313429
69.92,9781.421967414226,67.29935420573051,-49.96059472690872,-0.34374508872883525,0.14682117385682678,9781.653485361772
69.93,9780.922361466957,67.29591675484323,-49.9605947269624,-0.34374508872769716,0.14682117385698454,9781.153867589255
69.94,9780.422755519687,67.29247930395597,-49.96059472701543,-0.3437450887265726,0.14682117385714036,9780.654249816736
69.95,9779.923149572416,67.28904185306871,-49.96059472706783,-0.3437450887254615,0.1468211738572943,9780.154632044218
